GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
libraryservice,com.example.libraryservice.controller,LibrarianController,33,0,0,0,8,0,7,0,7,0
libraryservice,com.example.libraryservice.controller,LibraryController,0,33,0,0,0,8,0,7,0,7
libraryservice,com.example.libraryservice,LibraryserviceApplication,8,0,0,0,3,0,2,0,2,0
libraryservice,com.example.libraryservice.service,LibrarianServiceImple,130,0,0,0,24,0,12,0,12,0
libraryservice,com.example.libraryservice.service,LibraryServiceImpl,6,158,1,1,1,28,1,12,0,12
libraryservice,com.example.libraryservice.dto,LibrarianDto,210,0,38,0,7,0,33,0,14,0
libraryservice,com.example.libraryservice.dto,LibraryDto,178,32,36,2,2,5,28,5,9,5
libraryservice,com.example.libraryservice.dto,BookDto,197,16,38,0,10,6,32,1,13,1
libraryservice,com.example.libraryservice.config,RestTemplateConfig,7,0,0,0,2,0,2,0,2,0
libraryservice,com.example.libraryservice.config,ModelMapperConfig,7,0,0,0,2,0,2,0,2,0
libraryservice,com.example.libraryservice.exception,LibraryNotFoundException,0,4,0,0,0,2,0,1,0,1
libraryservice,com.example.libraryservice.exception,ErrorResponse,33,0,0,0,9,0,7,0,7,0
libraryservice,com.example.libraryservice.exception,GlobalExceptionHandler,34,0,0,0,8,0,3,0,3,0
libraryservice,com.example.libraryservice.entity,Librarian,46,0,0,0,15,0,10,0,10,0
libraryservice,com.example.libraryservice.entity,Library,0,36,0,0,0,13,0,8,0,8
